ID,name,latitude,longitude,rdc,Column1
66688,PTP1,40.06197,-111.729736,0,Sierra Pacific Power Co
66689,PTP2,40.06197,-111.729736,0,Sierra Pacific Power Co
64799,TOULON,40.06461,-118.648659,0, 
66278,RANGELY,40.074509,-108.82164,0,Sierra Pacific Power Co
64900,FORTSAGE,40.074638,-119.973747,0, 
65037,ARROWHEA,40.07729,-111.686401,0,Sierra Pacific Power Co
65038,ARW1,40.07729,-111.686401,0,Sierra Pacific Power Co
65039,ARW2,40.07729,-111.686401,0,Sierra Pacific Power Co
66411,STB,40.080181,-111.604843,0,Sierra Pacific Power Co
66429,STRAWBER,40.080181,-111.604843,0,Sierra Pacific Power Co
66474,SWUA-HY,40.080181,-111.604843,0,Sierra Pacific Power Co
640024,WREC Grass Valley,40.084911,-116.586342,0, 
65191,BONANZA,40.086029,-109.290054,0,Sierra Pacific Power Co
65192,BONANZA,40.086029,-109.290054,0,Sierra Pacific Power Co
65193,BONANZA,40.086029,-109.290054,0,Sierra Pacific Power Co
66400,SPANFRK,40.091743,-111.586266,0,Sierra Pacific Power Co
66405,SPAN,40.091743,-111.586266,0,Sierra Pacific Power Co
66406,SPAN,40.091743,-111.586266,0,Sierra Pacific Power Co
66502,TAYLR,40.098003,-111.691269,0,Sierra Pacific Power Co
64543,ANTELOPE,40.101429,-117.180099,0, 
66384,SORENSEN,40.128422,-111.698509,0,Sierra Pacific Power Co
66388,SORN,40.128422,-111.698509,0,Sierra Pacific Power Co
65541,BAXTER,40.14035,-111.607368,0,Sierra Pacific Power Co
65548,BXT,40.14035,-111.607368,0,Sierra Pacific Power Co
68854,BXT2,40.14035,-111.607368,0,Sierra Pacific Power Co
66343,SWUATP1,40.144485,-111.655266,0,Sierra Pacific Power Co
65471,DRYCREK,40.14473,-111.633247,0,Sierra Pacific Power Co
65472,DRY,40.14473,-111.633247,0,Sierra Pacific Power Co
66672,KNIGHT,40.159931,-111.616463,0,Sierra Pacific Power Co
66693,KGT,40.159931,-111.616463,0,Sierra Pacific Power Co
65409,COMPOUND,40.161476,-111.593102,0,Sierra Pacific Power Co
65410,CMP,40.161476,-111.593102,0,Sierra Pacific Power Co
64735,LOVELOCK,40.174938,-118.481163,0, 
66407,SPV-GEN1,40.176056,-111.618797,0,Sierra Pacific Power Co
66408,SPV-GEN2,40.176056,-111.618797,0,Sierra Pacific Power Co
66409,SPV-GEN3,40.176056,-111.618797,0,Sierra Pacific Power Co
66673,WHITHEAD,40.176056,-111.618797,0,Sierra Pacific Power Co
66692,WHPP,40.176056,-111.618797,0,Sierra Pacific Power Co
64382,CRTZ HILLS,40.176361,-116.612442,0, 
66026,900N,40.177822,-111.618813,0,Sierra Pacific Power Co
66027,9N,40.177822,-111.618813,0,Sierra Pacific Power Co
64264,JERSEYV,40.18182,-117.47506,0, 
65843,HOBBLCK,40.182247,-111.637169,0,Sierra Pacific Power Co
65844,HBCK,40.182247,-111.637169,0,Sierra Pacific Power Co
